Trans Hist Date,week_day,1 PM,10 AM,11 AM,12 PM,2 PM,3 PM,4 PM,5 PM,6 PM,7 PM,8 PM,9 AM
2022-05-15,Sunday,14.833333333333334,,11.333333333333334,14.0,17.0,14.8,12.333333333333334,23.0,,,,
2022-05-16,Monday,12.5,16.2,10.333333333333334,14.5,12.25,10.0,10.25,9.125,9.666666666666666,8.6,10.0,13.25
2022-05-17,Tuesday,9.875,11.142857142857142,11.428571428571429,11.375,12.6,12.777777777777779,17.428571428571427,9.444444444444445,7.6,6.0,7.0,11.25
2022-05-18,Wednesday,12.0,11.8,14.0,15.166666666666666,10.555555555555555,13.625,11.375,10.25,13.2,11.2,6.0,13.5
2022-05-19,Thursday,14.0,13.0,11.125,10.333333333333334,14.333333333333334,13.666666666666666,16.0,8.142857142857142,10.25,10.333333333333334,18.0,15.0
2022-05-20,Friday,12.0,9.625,10.4,10.5,11.714285714285714,11.333333333333334,12.428571428571429,15.5,18.0,21.0,10.0,12.6
2022-05-21,Saturday,9.714285714285714,12.0,10.555555555555555,14.0,12.333333333333334,16.0,13.0,31.0,,,,8.0
2022-05-22,Sunday,17.0,,11.4,8.166666666666666,14.0,17.2,11.333333333333334,21.0,,,,
2022-05-23,Monday,12.857142857142858,10.0,9.444444444444445,11.857142857142858,14.75,14.375,15.571428571428571,11.222222222222221,10.428571428571429,8.0,7.0,15.2
2022-05-24,Tuesday,16.5,13.714285714285714,15.285714285714286,12.857142857142858,13.428571428571429,11.428571428571429,12.75,10.714285714285714,10.0,7.0,10.5,12.333333333333334
2022-05-25,Wednesday,14.428571428571429,12.0,12.333333333333334,13.25,11.75,12.714285714285714,15.0,12.25,9.0,9.0,7.0,11.333333333333334
2022-05-26,Thursday,12.75,17.0,13.75,14.0,12.714285714285714,12.88888888888889,13.285714285714286,13.714285714285714,11.166666666666666,7.0,9.0,12.0
2022-05-27,Friday,14.0,10.857142857142858,12.142857142857142,10.625,12.625,14.833333333333334,13.625,17.5,24.0,14.0,6.0,16.4
2022-05-28,Saturday,10.375,9.5,11.571428571428571,12.75,13.333333333333334,13.6,8.875,16.0,,,,12.0
2022-05-29,Sunday,16.666666666666668,,9.0,11.666666666666666,13.166666666666666,13.4,12.0,20.0,,,,
2022-05-31,Tuesday,17.0,20.0,14.5,12.2,19.5,16.25,14.444444444444445,13.571428571428571,9.5,13.75,12.0,13.25
